bpd	arm	test	key_or_pair	N	canonical_same	max_rel_diff	max_bins
53	T	ordering	197	344	1	0	0.000
53	T	ordering	198	75	1	0	0.000
53	T	ordering	199	2070	1	0	0.000
53	T	merge	0,0+1	68	1	0	0.000
53	T	merge	1,1+1	42	1	0	0.000
53	T	merge	2,2+1	41	1	0	0.000
53	T	merge	3,3+1	40	1	0	0.000
53	T	merge	4,4+1	40	1	0	0.000
53	T	merge	5,5+1	40	1	0	0.000
53	T	merge	6,6+1	41	1	0	0.000
53	T	merge	7,7+1	355	1	0	0.000
53	T	merge	8,8+1	368	1	0	0.000
53	T	merge	9,9+1	550	1	0	0.000
53	T	merge	10,10+1	1032	1	0	0.000
53	T	merge	11,11+1	819	1	0	0.000
53	T	merge	12,12+1	818	1	0	0.000
53	T	merge	13,13+1	1029	1	0	0.000
53	T	merge	14,14+1	614	1	0	0.000
53	T	merge	15,15+1	305	1	0	0.000
53	T	merge	16,16+1	477	1	0	0.000
53	T	merge	17,17+1	797	1	0	0.000
53	T	merge	18,18+1	1120	1	0	0.000
53	T	merge	19,19+1	1128	1	0	0.000
53	T	merge	20,20+1	2034	1	0	0.000
53	T	merge	21,21+1	2019	1	0	0.000
53	T	merge	22,22+1	539	1	0	0.000
53	T	merge	23,23+1	161	1	0	0.000
53	T	merge	24,24+1	178	1	0	0.000
53	T	merge	25,25+1	120	1	0	0.000
53	T	merge	26,26+1	205	1	0	0.000
53	T	merge	27,27+1	269	1	0	0.000
53	T	merge	28,28+1	184	1	0	0.000
53	T	merge	29,29+1	639	1	0	0.000
53	T	merge	30,30+1	1263	1	0	0.000
53	T	merge	31,31+1	1438	1	0	0.000
53	T	merge	32,32+1	837	1	0	0.000
53	T	merge	33,33+1	255	1	0	0.000
53	T	merge	34,34+1	971	1	0	0.000
53	T	merge	35,35+1	861	1	0	0.000
53	T	merge	36,36+1	689	1	0	0.000
53	T	merge	37,37+1	1368	1	0	0.000
53	T	merge	38,38+1	823	1	0	0.000
53	T	merge	39,39+1	887	1	0	0.000
53	T	merge	40,40+1	924	1	0	0.000
53	T	merge	41,41+1	590	1	0	0.000
53	T	merge	42,42+1	589	1	0	0.000
53	T	merge	43,43+1	873	1	0	0.000
53	T	merge	44,44+1	1378	1	0	0.000
53	T	merge	45,45+1	958	1	0	0.000
53	T	merge	46,46+1	451	1	0	0.000
53	T	merge	47,47+1	178	1	0	0.000
53	T	merge	48,48+1	168	1	0	0.000
53	T	merge	49,49+1	685	1	0	0.000
53	T	merge	50,50+1	1238	1	0	0.000
53	T	merge	51,51+1	1331	1	0	0.000
53	T	merge	52,52+1	1295	1	0	0.000
53	T	merge	53,53+1	695	1	0	0.000
53	T	merge	54,54+1	187	1	0	0.000
53	T	merge	55,55+1	155	1	0	0.000
53	T	merge	56,56+1	839	1	0	0.000
53	T	merge	57,57+1	800	1	0	0.000
53	T	merge	58,58+1	48	1	0	0.000
53	T	merge	59,59+1	47	1	0	0.000
53	T	merge	60,60+1	57	1	0	0.000
53	T	merge	61,61+1	56	1	0	0.000
53	T	merge	62,62+1	42	1	0	0.000
53	T	merge	63,63+1	50	1	0	0.000
53	T	merge	64,64+1	49	1	0	0.000
53	T	merge	65,65+1	49	1	0	0.000
53	T	merge	66,66+1	1765	1	0	0.000
53	T	merge	67,67+1	1756	1	0	0.000
53	T	merge	68,68+1	40	1	0	0.000
53	T	merge	69,69+1	40	1	0	0.000
53	T	merge	70,70+1	40	1	0	0.000
53	T	merge	71,71+1	269	0	0	0.000
53	T	merge	72,72+1	270	0	0	0.000
