bpd	arm	test	key_or_pair	N	canonical_same	max_rel_diff	max_bins
53	T	merge	38,38+1	1594	1	0	0.000
53	T	merge	39,39+1	1083	1	0	0.000
53	T	merge	40,40+1	1078	1	0	0.000
53	T	merge	41,41+1	1588	1	0	0.000
53	T	merge	42,42+1	924	1	0	0.000
53	T	merge	43,43+1	344	1	0	0.000
53	T	merge	44,44+1	641	1	0	0.000
53	T	merge	45,45+1	1239	1	0	0.000
53	T	merge	46,46+1	1691	1	0	0.000
53	T	merge	47,47+1	1700	1	0	0.000
53	T	merge	48,48+1	2506	1	0	0.000
53	T	merge	49,49+1	2486	1	0	0.000
53	T	merge	50,50+1	831	1	0	0.000
53	T	merge	51,51+1	53	1	0	0.000
53	T	merge	52,52+1	48	1	0	0.000
53	T	merge	53,53+1	46	1	0	0.000
53	T	merge	54,54+1	46	1	0	0.000
53	T	merge	55,55+1	152	1	0	0.000
53	T	merge	56,56+1	869	1	0	0.000
53	T	merge	57,57+1	919	1	0	0.000
53	T	merge	58,58+1	289	1	0	0.000
53	T	merge	59,59+1	133	1	0	0.000
53	T	merge	60,60+1	46	1	0	0.000
53	T	merge	61,61+1	55	1	0	0.000
53	T	merge	62,62+1	56	1	0	0.000
53	T	merge	63,63+1	49	1	0	0.000
53	T	merge	64,64+1	50	1	0	0.000
53	T	merge	65,65+1	94	1	0	0.000
53	T	merge	66,66+1	372	1	0	0.000
53	T	merge	67,67+1	567	1	0	0.000
53	T	merge	68,68+1	292	1	0	0.000
53	T	merge	69,69+1	74	1	0	0.000
53	T	merge	70,70+1	932	1	0	0.000
53	T	merge	71,71+1	1807	1	0	0.000
53	T	merge	72,72+1	1846	1	0	0.000
53	T	merge	73,73+1	979	1	0	0.000
53	T	merge	74,74+1	375	1	0	0.000
53	T	merge	75,75+1	1250	1	0	0.000
53	T	merge	76,76+1	1006	1	0	0.000
53	T	merge	77,77+1	968	1	0	0.000
53	T	merge	78,78+1	1894	1	0	0.000
53	T	merge	79,79+1	1041	1	0	0.000
53	T	merge	80,80+1	1009	1	0	0.000
53	T	merge	81,81+1	1190	1	0	0.000
53	T	merge	82,82+1	931	1	0	0.000
53	T	merge	83,83+1	930	1	0	0.000
53	T	merge	84,84+1	1129	1	0	0.000
53	T	merge	85,85+1	1797	1	0	0.000
53	T	merge	86,86+1	1135	1	0	0.000
53	T	merge	87,87+1	453	1	0	0.000
53	T	merge	88,88+1	274	1	0	0.000
53	T	merge	89,89+1	147	1	0	0.000
53	T	merge	90,90+1	963	1	0	0.000
53	T	merge	91,91+1	1557	1	0	0.000
53	T	merge	92,92+1	1392	1	0	0.000
53	T	merge	93,93+1	1607	1	0	0.000
53	T	merge	94,94+1	1091	1	0	0.000
53	T	merge	95,95+1	413	1	0	0.000
53	T	merge	96,96+1	262	1	0	0.000
53	T	merge	97,97+1	968	1	0	0.000
53	T	merge	98,98+1	935	1	0	0.000
53	T	merge	99,99+1	86	1	0	0.000
53	T	merge	100,100+1	141	1	0	0.000
53	T	merge	101,101+1	207	1	0	0.000
53	T	merge	102,102+1	262	1	0	0.000
53	T	merge	103,103+1	154	1	0	0.000
53	T	merge	104,104+1	95	1	0	0.000
53	T	merge	105,105+1	198	1	0	0.000
53	T	merge	106,106+1	156	1	0	0.000
53	T	merge	107,107+1	157	1	0	0.000
53	T	merge	108,108+1	157	1	0	0.000
53	T	merge	109,109+1	75	1	0	0.000
53	T	merge	110,110+1	84	1	0	0.000
53	T	merge	111,111+1	174	1	0	0.000
53	T	merge	112,112+1	174	1	0	0.000
53	T	merge	113,113+1	171	1	0	0.000
53	T	merge	114,114+1	261	1	0	0.000
53	T	merge	115,115+1	159	1	0	0.000
53	T	merge	116,116+1	157	1	0	0.000
53	T	merge	117,117+1	247	1	0	0.000
53	T	merge	118,118+1	247	1	0	0.000
53	T	merge	119,119+1	158	1	0	0.000
53	T	merge	120,120+1	65	1	0	0.000
53	T	merge	121,121+1	2914	1	0	0.000
53	T	merge	122,122+1	3017	1	0	0.000
53	T	merge	123,123+1	275	1	0	0.000
53	T	merge	124,124+1	275	1	0	0.000
53	T	merge	125,125+1	271	1	0	0.000
53	T	merge	126,126+1	269	1	0	0.000
53	T	merge	127,127+1	551	1	0	0.000
53	T	merge	128,128+1	445	1	0	0.000
53	T	merge	129,129+1	65	1	0	0.000
53	T	merge	130,130+1	449	0	0	0.000
53	T	merge	131,131+1	549	0	0	0.000
53	T	merge	132,132+1	275	1	0	0.000
53	T	merge	133,133+1	276	1	0	0.000
53	T	merge	134,134+1	274	1	0	0.000
53	T	merge	135,135+1	277	1	0	0.000
53	T	merge	136,136+1	983	1	0	0.000
53	T	merge	137,137+1	890	1	0	0.000
53	T	merge	138,138+1	74	1	0	0.000
53	T	merge	139,139+1	52	1	0	0.000
53	T	merge	140,140+1	2659	1	0	0.000
53	T	merge	141,141+1	5316	1	0	0.000
53	T	merge	142,142+1	5365	1	0	0.000
53	T	merge	143,143+1	7278	1	0	0.000
53	T	merge	144,144+1	8220	1	0	0.000
53	T	merge	145,145+1	6358	1	0	0.000
53	T	merge	146,146+1	5951	1	0	0.000
53	T	merge	147,147+1	5863	1	0	0.000
53	T	merge	148,148+1	5471	1	0	0.000
53	T	merge	149,149+1	5800	1	0	0.000
53	T	merge	150,150+1	6955	1	0	0.000
53	T	merge	151,151+1	6935	1	0	0.000
53	T	merge	152,152+1	5390	1	0	0.000
53	T	merge	153,153+1	2467	1	0	0.000
53	T	merge	154,154+1	130	1	0	0.000
53	T	merge	155,155+1	1045	1	0	0.000
53	T	merge	156,156+1	1044	1	0	0.000
53	T	merge	157,157+1	1038	1	0	0.000
53	T	merge	158,158+1	1023	1	0	0.000
53	T	merge	159,159+1	119	1	0	0.000
53	T	merge	160,160+1	101	1	0	0.000
53	T	merge	161,161+1	123	1	0	0.000
