candidate	fixture	lines	metric	median	min	max
arm-K3	bin-dpm-100k.log	100000	compact_s	0.002257	0.002257	0.002257
arm-K3	bin-dpm-100k.log	100000	compact_population_stats_s	0.029707	0.029671	0.030266
arm-K4	bin-dpm-100k.log	100000	build_ns_per_line	6984.28	6819.26	7259.04
arm-K4	bin-dpm-100k.log	100000	rss_delta_after_build_kb	10400	10400	10400
arm-K4	bin-dpm-100k.log	100000	distinct_keys	3312	3312	3312
arm-K4	bin-dpm-100k.log	100000	partition_extensions	86	86	86
arm-K4	bin-dpm-100k.log	100000	keymap_s	0.000508	0.000508	0.000514
arm-K4	bin-dpm-100k.log	100000	devel_size_record_bytes	2.81837e+06	2.81837e+06	2.81837e+06
arm-K4	bin-dpm-100k.log	100000	devel_size_counter_bytes	3.642e+06	3.642e+06	3.642e+06
arm-K4	bin-dpm-100k.log	100000	walk_s	0.000269	0.000269	0.000273
arm-K4	bin-dpm-100k.log	100000	population_stats_s	0.066764	0.066647	0.069345
arm-K4	bin-dpm-100k.log	100000	eligible_keys	3312	3312	3312
arm-K4	bin-dpm-100k.log	100000	churn_s	0.004641	0.004641	0.004641
arm-K4	bin-dpm-100k.log	100000	churn_population_stats_s	0.012817	0.012485	0.013207
arm-K4	bin-dpm-100k.log	100000	compact_s	0.002178	0.002178	0.002178
arm-K4	bin-dpm-100k.log	100000	compact_population_stats_s	0.012438	0.012396	0.012682
arm-K1	bin-dpm-full.log	122808	build_ns_per_line	9241.5	9203.83	9758
arm-K1	bin-dpm-full.log	122808	rss_delta_after_build_kb	17424	17424	17424
arm-K1	bin-dpm-full.log	122808	distinct_keys	3421	3421	3421
arm-K1	bin-dpm-full.log	122808	partition_extensions	116	116	116
arm-K1	bin-dpm-full.log	122808	devel_size_record_bytes	5.36095e+06	5.36095e+06	5.36095e+06
arm-K1	bin-dpm-full.log	122808	devel_size_counter_bytes	9.65229e+06	9.65229e+06	9.65229e+06
arm-K1	bin-dpm-full.log	122808	walk_s	0.0007	0.00067	0.000921
arm-K1	bin-dpm-full.log	122808	population_stats_s	0.350434	0.348164	0.351272
arm-K1	bin-dpm-full.log	122808	eligible_keys	3421	3421	3421
arm-K1	bin-dpm-full.log	122808	churn_s	0.007056	0.007056	0.007056
arm-K1	bin-dpm-full.log	122808	churn_population_stats_s	0.038563	0.038418	0.038714
arm-K2	bin-dpm-full.log	122808	build_ns_per_line	7502.63	7423.46	7767.85
arm-K2	bin-dpm-full.log	122808	rss_delta_after_build_kb	16336	16336	16336
arm-K2	bin-dpm-full.log	122808	distinct_keys	3421	3421	3421
arm-K2	bin-dpm-full.log	122808	partition_extensions	116	116	116
arm-K2	bin-dpm-full.log	122808	keymap_s	0.00053	0.000525	0.000536
arm-K2	bin-dpm-full.log	122808	devel_size_record_bytes	2.89356e+06	2.89356e+06	2.89356e+06
arm-K2	bin-dpm-full.log	122808	devel_size_counter_bytes	8.84472e+06	8.84472e+06	8.84472e+06
arm-K2	bin-dpm-full.log	122808	walk_s	0.000279	0.000276	0.000284
arm-K2	bin-dpm-full.log	122808	population_stats_s	0.304707	0.30368	0.306842
arm-K2	bin-dpm-full.log	122808	eligible_keys	3421	3421	3421
arm-K2	bin-dpm-full.log	122808	churn_s	0.007503	0.007503	0.007503
arm-K2	bin-dpm-full.log	122808	churn_population_stats_s	0.03919	0.038861	0.039975
arm-K2	bin-dpm-full.log	122808	compact_s	0.002053	0.002053	0.002053
arm-K2	bin-dpm-full.log	122808	compact_population_stats_s	0.038354	0.038336	0.03864
arm-K3	bin-dpm-full.log	122808	build_ns_per_line	6909.86	6788.3	6962.71
arm-K3	bin-dpm-full.log	122808	rss_delta_after_build_kb	15168	15168	15168
arm-K3	bin-dpm-full.log	122808	distinct_keys	3421	3421	3421
arm-K3	bin-dpm-full.log	122808	partition_extensions	116	116	116
arm-K3	bin-dpm-full.log	122808	keymap_s	0.000528	0.000524	0.000549
arm-K3	bin-dpm-full.log	122808	devel_size_record_bytes	2.89502e+06	2.89502e+06	2.89502e+06
arm-K3	bin-dpm-full.log	122808	devel_size_counter_bytes	6.76961e+06	6.76961e+06	6.76961e+06
arm-K3	bin-dpm-full.log	122808	walk_s	0.000277	0.000277	0.00028
arm-K3	bin-dpm-full.log	122808	population_stats_s	0.252238	0.250106	0.256505
arm-K3	bin-dpm-full.log	122808	eligible_keys	3421	3421	3421
arm-K3	bin-dpm-full.log	122808	churn_s	0.007662	0.007662	0.007662
arm-K3	bin-dpm-full.log	122808	churn_population_stats_s	0.032223	0.031861	0.032834
arm-K3	bin-dpm-full.log	122808	compact_s	0.002253	0.002253	0.002253
arm-K3	bin-dpm-full.log	122808	compact_population_stats_s	0.031299	0.031232	0.031583
arm-K4	bin-dpm-full.log	122808	build_ns_per_line	6971.29	6826.22	7181.09
arm-K4	bin-dpm-full.log	122808	rss_delta_after_build_kb	11008	11008	11008
arm-K4	bin-dpm-full.log	122808	distinct_keys	3421	3421	3421
arm-K4	bin-dpm-full.log	122808	partition_extensions	116	116	116
arm-K4	bin-dpm-full.log	122808	keymap_s	0.000527	0.000525	0.000536
arm-K4	bin-dpm-full.log	122808	devel_size_record_bytes	2.89502e+06	2.89502e+06	2.89502e+06
arm-K4	bin-dpm-full.log	122808	devel_size_counter_bytes	3.93242e+06	3.93242e+06	3.93242e+06
arm-K4	bin-dpm-full.log	122808	walk_s	0.000278	0.000278	0.000281
arm-K4	bin-dpm-full.log	122808	population_stats_s	0.073294	0.071998	0.074738
arm-K4	bin-dpm-full.log	122808	eligible_keys	3421	3421	3421
arm-K4	bin-dpm-full.log	122808	churn_s	0.006151	0.006151	0.006151
arm-K4	bin-dpm-full.log	122808	churn_population_stats_s	0.01406	0.013663	0.014862
arm-K4	bin-dpm-full.log	122808	compact_s	0.00239	0.00239	0.00239
arm-K4	bin-dpm-full.log	122808	compact_population_stats_s	0.014112	0.013673	0.014275
arm-K1	bin-twxdur-100k.log	100000	build_ns_per_line	11451.1	11218.4	12315.8
arm-K1	bin-twxdur-100k.log	100000	rss_delta_after_build_kb	396880	396880	396880
arm-K1	bin-twxdur-100k.log	100000	distinct_keys	99487	99487	99487
arm-K1	bin-twxdur-100k.log	100000	partition_extensions	0	0	0
arm-K1	bin-twxdur-100k.log	100000	devel_size_record_bytes	1.20084e+08	1.20084e+08	1.20084e+08
arm-K1	bin-twxdur-100k.log	100000	devel_size_counter_bytes	2.37709e+08	2.37709e+08	2.37709e+08
arm-K1	bin-twxdur-100k.log	100000	walk_s	0.105176	0.103978	0.107025
arm-K1	bin-twxdur-100k.log	100000	population_stats_s	7.80582	7.77931	7.84501
arm-K1	bin-twxdur-100k.log	100000	eligible_keys	99487	99487	99487
arm-K1	bin-twxdur-100k.log	100000	churn_s	0.332548	0.332548	0.332548
arm-K1	bin-twxdur-100k.log	100000	churn_population_stats_s	0.864582	0.863896	0.868138
arm-K2	bin-twxdur-100k.log	100000	build_ns_per_line	9590.46	8696.56	10612.5
arm-K2	bin-twxdur-100k.log	100000	rss_delta_after_build_kb	335952	335952	335952
arm-K2	bin-twxdur-100k.log	100000	distinct_keys	99487	99487	99487
arm-K2	bin-twxdur-100k.log	100000	partition_extensions	0	0	0
arm-K2	bin-twxdur-100k.log	100000	keymap_s	0.041088	0.040589	0.041308
arm-K2	bin-twxdur-100k.log	100000	devel_size_record_bytes	6.40667e+07	6.40667e+07	6.40667e+07
arm-K2	bin-twxdur-100k.log	100000	devel_size_counter_bytes	2.10292e+08	2.10292e+08	2.10292e+08
arm-K2	bin-twxdur-100k.log	100000	walk_s	0.012116	0.012073	0.012375
arm-K2	bin-twxdur-100k.log	100000	population_stats_s	7.68522	7.67549	7.77483
arm-K2	bin-twxdur-100k.log	100000	eligible_keys	99487	99487	99487
arm-K2	bin-twxdur-100k.log	100000	churn_s	0.455819	0.455819	0.455819
arm-K2	bin-twxdur-100k.log	100000	churn_population_stats_s	0.877148	0.875925	0.879981
arm-K2	bin-twxdur-100k.log	100000	compact_s	0.117403	0.117403	0.117403
arm-K2	bin-twxdur-100k.log	100000	compact_population_stats_s	0.873708	0.872109	0.875657
arm-K3	bin-twxdur-100k.log	100000	build_ns_per_line	8510.72	7609.33	9664.84
arm-K3	bin-twxdur-100k.log	100000	rss_delta_after_build_kb	281152	281152	281152
arm-K3	bin-twxdur-100k.log	100000	distinct_keys	99487	99487	99487
arm-K3	bin-twxdur-100k.log	100000	partition_extensions	0	0	0
arm-K3	bin-twxdur-100k.log	100000	keymap_s	0.040938	0.03996	0.041797
arm-K3	bin-twxdur-100k.log	100000	devel_size_record_bytes	6.40697e+07	6.40697e+07	6.40697e+07
arm-K3	bin-twxdur-100k.log	100000	devel_size_counter_bytes	1.50839e+08	1.50839e+08	1.50839e+08
arm-K3	bin-twxdur-100k.log	100000	walk_s	0.011475	0.011472	0.011515
arm-K3	bin-twxdur-100k.log	100000	population_stats_s	6.62823	6.56268	6.64749
arm-K3	bin-twxdur-100k.log	100000	eligible_keys	99487	99487	99487
arm-K3	bin-twxdur-100k.log	100000	churn_s	0.495389	0.495389	0.495389
arm-K3	bin-twxdur-100k.log	100000	churn_population_stats_s	0.739465	0.737437	0.741834
arm-K3	bin-twxdur-100k.log	100000	compact_s	0.128686	0.128686	0.128686
arm-K3	bin-twxdur-100k.log	100000	compact_population_stats_s	0.734987	0.731766	0.736395
arm-K4	bin-twxdur-100k.log	100000	build_ns_per_line	8575.78	7512.63	9610.81
arm-K4	bin-twxdur-100k.log	100000	rss_delta_after_build_kb	154080	154080	154080
arm-K4	bin-twxdur-100k.log	100000	distinct_keys	99487	99487	99487
arm-K4	bin-twxdur-100k.log	100000	partition_extensions	0	0	0
arm-K4	bin-twxdur-100k.log	100000	keymap_s	0.040087	0.039916	0.040932
arm-K4	bin-twxdur-100k.log	100000	devel_size_record_bytes	6.40697e+07	6.40697e+07	6.40697e+07
arm-K4	bin-twxdur-100k.log	100000	devel_size_counter_bytes	4.89989e+07	4.89989e+07	4.89989e+07
arm-K4	bin-twxdur-100k.log	100000	walk_s	0.011549	0.011529	0.011579
arm-K4	bin-twxdur-100k.log	100000	population_stats_s	0.764696	0.761333	0.769339
arm-K4	bin-twxdur-100k.log	100000	eligible_keys	99487	99487	99487
arm-K4	bin-twxdur-100k.log	100000	churn_s	0.394418	0.394418	0.394418
arm-K4	bin-twxdur-100k.log	100000	churn_population_stats_s	0.095529	0.093534	0.099201
arm-K4	bin-twxdur-100k.log	100000	compact_s	0.148026	0.148026	0.148026
arm-K4	bin-twxdur-100k.log	100000	compact_population_stats_s	0.088247	0.086418	0.090323
arm-K1	bin-twxdur-full.log	288025	build_ns_per_line	11302.1	11260.5	12548.3
arm-K1	bin-twxdur-full.log	288025	rss_delta_after_build_kb	1.13429e+06	1.13429e+06	1.13429e+06
arm-K1	bin-twxdur-full.log	288025	distinct_keys	286659	286659	286659
arm-K1	bin-twxdur-full.log	288025	partition_extensions	2	2	2
arm-K1	bin-twxdur-full.log	288025	devel_size_record_bytes	3.44167e+08	3.44167e+08	3.44167e+08
arm-K1	bin-twxdur-full.log	288025	devel_size_counter_bytes	6.83057e+08	6.83057e+08	6.83057e+08
arm-K1	bin-twxdur-full.log	288025	walk_s	0.340621	0.340172	0.347515
arm-K1	bin-twxdur-full.log	288025	population_stats_s	22.9405	22.9284	23.0402
arm-K1	bin-twxdur-full.log	288025	eligible_keys	286659	286659	286659
arm-K1	bin-twxdur-full.log	288025	churn_s	1.03416	1.03416	1.03416
arm-K1	bin-twxdur-full.log	288025	churn_population_stats_s	2.56213	2.56088	2.57174
arm-K2	bin-twxdur-full.log	288025	build_ns_per_line	9811.59	9006.32	11213.1
arm-K2	bin-twxdur-full.log	288025	rss_delta_after_build_kb	985728	985728	985728
arm-K2	bin-twxdur-full.log	288025	distinct_keys	286659	286659	286659
arm-K2	bin-twxdur-full.log	288025	partition_extensions	2	2	2
arm-K2	bin-twxdur-full.log	288025	keymap_s	0.150549	0.149982	0.151846
arm-K2	bin-twxdur-full.log	288025	devel_size_record_bytes	1.7954e+08	1.7954e+08	1.7954e+08
arm-K2	bin-twxdur-full.log	288025	devel_size_counter_bytes	6.05586e+08	6.05586e+08	6.05586e+08
arm-K2	bin-twxdur-full.log	288025	walk_s	0.037024	0.036973	0.037049
arm-K2	bin-twxdur-full.log	288025	population_stats_s	22.3824	22.3422	22.467
arm-K2	bin-twxdur-full.log	288025	eligible_keys	286659	286659	286659
arm-K2	bin-twxdur-full.log	288025	churn_s	1.46669	1.46669	1.46669
arm-K2	bin-twxdur-full.log	288025	churn_population_stats_s	2.51322	2.51098	2.53317
arm-K2	bin-twxdur-full.log	288025	compact_s	0.386773	0.386773	0.386773
arm-K2	bin-twxdur-full.log	288025	compact_population_stats_s	2.48853	2.48723	2.48973
arm-K3	bin-twxdur-full.log	288025	build_ns_per_line	8300.68	7526.28	9285.22
arm-K3	bin-twxdur-full.log	288025	rss_delta_after_build_kb	827104	827104	827104
arm-K3	bin-twxdur-full.log	288025	distinct_keys	286659	286659	286659
arm-K3	bin-twxdur-full.log	288025	partition_extensions	2	2	2
arm-K3	bin-twxdur-full.log	288025	keymap_s	0.140108	0.137832	0.14615
arm-K3	bin-twxdur-full.log	288025	devel_size_record_bytes	1.79543e+08	1.79543e+08	1.79543e+08
arm-K3	bin-twxdur-full.log	288025	devel_size_counter_bytes	4.32034e+08	4.32034e+08	4.32034e+08
arm-K3	bin-twxdur-full.log	288025	walk_s	0.033613	0.033533	0.033649
arm-K3	bin-twxdur-full.log	288025	population_stats_s	18.9002	18.7503	19.0341
arm-K3	bin-twxdur-full.log	288025	eligible_keys	286659	286659	286659
arm-K3	bin-twxdur-full.log	288025	churn_s	1.64556	1.64556	1.64556
arm-K3	bin-twxdur-full.log	288025	churn_population_stats_s	2.11855	2.11492	2.1255
arm-K3	bin-twxdur-full.log	288025	compact_s	0.436157	0.436157	0.436157
arm-K3	bin-twxdur-full.log	288025	compact_population_stats_s	2.10508	2.09962	2.15257
arm-K4	bin-twxdur-full.log	288025	build_ns_per_line	8234.87	7238.65	9063.94
arm-K4	bin-twxdur-full.log	288025	rss_delta_after_build_kb	454832	454832	454832
arm-K4	bin-twxdur-full.log	288025	distinct_keys	286659	286659	286659
arm-K4	bin-twxdur-full.log	288025	partition_extensions	2	2	2
arm-K4	bin-twxdur-full.log	288025	keymap_s	0.137426	0.136685	0.141853
arm-K4	bin-twxdur-full.log	288025	devel_size_record_bytes	1.79543e+08	1.79543e+08	1.79543e+08
arm-K4	bin-twxdur-full.log	288025	devel_size_counter_bytes	1.38608e+08	1.38608e+08	1.38608e+08
arm-K4	bin-twxdur-full.log	288025	walk_s	0.034399	0.03421	0.034437
arm-K4	bin-twxdur-full.log	288025	population_stats_s	2.15427	2.14791	2.17282
arm-K4	bin-twxdur-full.log	288025	eligible_keys	286659	286659	286659
arm-K4	bin-twxdur-full.log	288025	churn_s	1.31519	1.31519	1.31519
arm-K4	bin-twxdur-full.log	288025	churn_population_stats_s	0.269913	0.269084	0.270081
arm-K4	bin-twxdur-full.log	288025	compact_s	0.485247	0.485247	0.485247
arm-K4	bin-twxdur-full.log	288025	compact_population_stats_s	0.255832	0.253913	0.258063
