file	bpd	bound	scope	arm	conv	quantile	n	p50	p95	p99	max	within_bound	mean_signed
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	T	binning	P75	2517	0.015637	0.035107	0.039669	0.043986	1.000000	0.016146
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	T	raw	P75	2517	0.013919	0.038893	0.233530	0.745516	0.975368	0.008292
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	T	binning	P90	2517	0.021960	0.038893	0.040415	0.043790	1.000000	0.020188
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	T	raw	P90	2517	0.021960	0.038893	0.042219	0.773823	0.994438	0.018527
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	T	binning	P95	2517	0.021960	0.038893	0.042219	0.043790	1.000000	0.021324
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	T	raw	P95	2517	0.021960	0.038893	0.042219	0.587479	0.998014	0.020462
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	T	binning	P99	2517	0.021960	0.038893	0.042219	0.044378	1.000000	0.022054
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	T	raw	P99	2517	0.021960	0.038893	0.042219	0.044378	1.000000	0.022048
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	T	binning	P999	2517	0.021960	0.038893	0.042219	0.044277	1.000000	0.022450
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	T	raw	P999	2517	0.021960	0.038893	0.042219	0.044277	1.000000	0.022450
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	G	binning	P1	2517	0.009278	0.042344	0.044403	0.044403	1.000000	0.007718
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	G	raw	P1	2517	0.009278	0.042344	0.044403	0.044403	1.000000	0.007717
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	G	binning	P50	2517	0.022519	0.044403	0.044403	0.044403	1.000000	0.013995
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	G	raw	P50	2517	0.021960	0.226419	0.477799	0.905066	0.904251	-0.016895
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	G	binning	P75	2517	0.023806	0.044403	0.044403	0.044403	1.000000	0.018935
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	G	raw	P75	2517	0.024978	0.044403	0.226419	0.738899	0.977354	0.011362
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	G	binning	P90	2517	0.027969	0.044403	0.044403	0.044403	1.000000	0.022509
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	G	raw	P90	2517	0.027969	0.044403	0.044403	0.776215	0.994835	0.020793
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	G	binning	P95	2517	0.029409	0.044403	0.044403	0.044403	1.000000	0.023758
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	G	raw	P95	2517	0.029409	0.044403	0.044403	0.588006	0.998014	0.022876
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	G	binning	P99	2517	0.029409	0.044403	0.044403	0.044403	1.000000	0.023739
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	G	raw	P99	2517	0.029409	0.044403	0.044403	0.044403	1.000000	0.023736
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	G	binning	P999	2517	0.023663	0.044403	0.044403	0.044403	1.000000	0.022649
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	small	G	raw	P999	2517	0.023663	0.044403	0.044403	0.044403	1.000000	0.022649
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	T	binning	P1	1258	0.012949	0.035598	0.047011	0.055600	0.985692	-0.005077
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	T	raw	P1	1258	0.012949	0.035598	0.047011	0.055600	0.985692	-0.005077
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	T	binning	P50	1258	0.010920	0.035598	0.042292	0.052840	0.991256	0.005950
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	T	raw	P50	1258	0.014112	0.961366	0.964826	0.981733	0.817170	-0.123344
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	T	binning	P75	1258	0.013307	0.035583	0.042292	0.057226	0.992051	0.009943
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	T	raw	P75	1258	0.013457	0.049740	0.478854	0.811423	0.947536	-0.005498
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	T	binning	P90	1258	0.017740	0.038893	0.053492	0.054985	0.971383	0.013362
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	T	raw	P90	1258	0.017740	0.042292	0.082961	0.481600	0.957075	0.009452
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	T	binning	P95	1258	0.019753	0.038893	0.053492	0.054985	0.965819	0.014912
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	T	raw	P95	1258	0.019748	0.040979	0.054985	0.743322	0.956280	0.012284
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	T	binning	P99	1258	0.019225	0.038893	0.053492	0.056638	0.964229	0.016187
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	T	raw	P99	1258	0.019225	0.038893	0.053492	0.056638	0.964229	0.016186
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	T	binning	P999	1258	0.019007	0.039798	0.053492	0.060325	0.964229	0.017201
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	T	raw	P999	1258	0.019007	0.039798	0.053492	0.060325	0.964229	0.017201
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	G	binning	P1	1258	0.005445	0.042635	0.044403	0.044403	1.000000	0.006484
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	G	raw	P1	1258	0.005445	0.042635	0.044403	0.044403	1.000000	0.006484
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	G	binning	P50	1258	0.022506	0.040286	0.044403	0.044403	1.000000	0.013983
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	G	raw	P50	1258	0.023980	0.962190	0.966035	0.981350	0.825119	-0.116756
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	G	binning	P75	1258	0.023663	0.042635	0.044403	0.044403	1.000000	0.016740
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	G	raw	P75	1258	0.024707	0.044403	0.477799	0.817823	0.955485	0.001520
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	G	binning	P90	1258	0.021645	0.044403	0.044403	0.044403	1.000000	0.019310
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	G	raw	P90	1258	0.021351	0.044403	0.068062	0.477799	0.985692	0.015739
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	G	binning	P95	1258	0.019556	0.044403	0.044403	0.044403	1.000000	0.019848
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	G	raw	P95	1258	0.019556	0.044403	0.044403	0.742140	0.991256	0.017182
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	G	binning	P99	1258	0.020300	0.044403	0.044403	0.044403	1.000000	0.020681
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	G	raw	P99	1258	0.020300	0.044403	0.044403	0.044403	1.000000	0.020680
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	G	binning	P999	1258	0.020654	0.044403	0.044403	0.044403	1.000000	0.021031
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	pair	G	raw	P999	1258	0.020654	0.044403	0.044403	0.044403	1.000000	0.021031
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	T	binning	P1	314	0.013563	0.035598	0.040960	0.054231	0.993631	-0.006106
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	T	raw	P1	314	0.013563	0.035598	0.040960	0.054231	0.993631	-0.006107
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	T	binning	P50	314	0.010920	0.035598	0.042292	0.046860	0.993631	0.005812
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	T	raw	P50	314	0.013120	0.961104	0.964826	0.981626	0.831210	-0.113105
localhost_access_log-twx01-twx-thingworx-0.2025-05-05.txt	53	0.044403	fold1	T	binning	P75	314	0.012364	0.035088	0.049670	0.057226	0.987261	0.009477
