key_ordinal	n	quantile	oracle	T_int_err	T_ceil_err	G_int_err	G_ceil_err
29	43	P90	7733	0.011658	0.011658	0.040668	0.040668
29	43	P95	8329	0.009892	0.009892	0.009103	0.009103
29	43	P99	10491	0.011129	0.011129	0.039726	0.039726
29	43	P999	10491	0.011129	0.011129	0.039726	0.039726
30	30	P1	903	0.019516	0.019516	0.015258	0.015258
30	30	P50	2690	0.013976	-0.423573	0.009741	-0.425980
30	30	P75	10678	-0.003482	-0.003482	-0.007644	-0.007644
30	30	P90	11731	0.018484	-0.024816	0.014230	-0.028889
30	30	P95	12288	0.015491	0.015491	0.011250	0.011250
30	30	P99	13818	0.028764	0.028764	0.024468	0.024468
30	30	P999	13818	0.028764	0.028764	0.024468	0.024468
31	24	P1	1	-0.019715	-0.019715	0.001812	0.001812
31	24	P50	1	0.001812	0.000000	0.023812	0.021960
31	24	P75	1	0.012752	0.010920	0.034992	0.033120
31	24	P90	1	0.018267	0.018267	0.040628	0.040628
31	24	P95	1	0.020112	0.020112	0.042514	0.042514
31	24	P99	1	0.021960	0.021960	0.044403	0.044403
31	24	P999	1	0.021960	0.021960	0.044403	0.044403
32	31	P1	14465	-0.016832	-0.016832	-0.010668	-0.010668
32	31	P50	15931	0.009630	0.009630	-0.004070	-0.004070
32	31	P75	18699	0.008717	0.008717	0.026126	0.026126
32	31	P90	21178	-0.007175	-0.007175	0.009959	0.009959
32	31	P95	22017	0.019298	0.019298	0.036889	0.036889
32	31	P99	33044	0.004103	0.004103	0.021432	0.021432
32	31	P999	33044	0.004103	0.004103	0.021432	0.021432
33	32	P1	4717	0.032023	0.032023	0.012930	0.012930
33	32	P50	8236	0.010051	-0.004470	0.009474	-0.001431
33	32	P75	9435	0.033952	0.011734	0.014823	0.000232
33	32	P90	10298	0.011093	0.011093	0.014180	0.014180
33	32	P95	10856	0.023708	0.023708	0.004769	0.004769
33	32	P99	11186	0.037622	0.037622	0.018425	0.018425
33	32	P999	11186	0.037622	0.037622	0.018425	0.018425
34	32	P1	5118	0.023238	0.023238	0.018312	0.018312
34	32	P50	8297	0.017895	0.006900	0.012995	0.004231
34	32	P75	10019	0.002932	-0.018619	0.042422	-0.001896
34	32	P90	11085	-0.000430	-0.000430	-0.005243	-0.005243
34	32	P95	11269	0.004841	0.004841	0.000003	0.000003
34	32	P99	11390	0.005023	0.005023	0.000184	0.000184
34	32	P999	11390	0.005023	0.005023	0.000184	0.000184
35	32	P1	5748	0.010761	0.010761	0.032923	0.032923
35	32	P50	7587	0.008305	0.001030	0.008272	0.000998
35	32	P75	8515	0.008769	-0.005734	-0.002161	-0.012940
35	32	P90	8811	0.018167	0.018167	0.010789	0.010789
35	32	P95	8989	0.042319	0.042319	0.019889	0.019889
35	32	P99	9380	0.043223	0.043223	0.020773	0.020773
35	32	P999	9380	0.043223	0.043223	0.020773	0.020773
36	32	P1	5409	0.005248	0.005248	0.006311	0.006311
36	32	P50	7797	-0.002017	-0.012798	-0.003130	-0.011754
36	32	P75	8566	0.001671	-0.019853	0.002730	-0.018817
36	32	P90	9028	0.014410	0.014410	0.015483	0.015483
36	32	P95	9583	0.020013	0.020013	0.021091	0.021091
36	32	P99	9585	0.042195	0.042195	0.043297	0.043297
36	32	P999	9585	0.042195	0.042195	0.043297	0.043297
37	32	P1	5911	0.029837	0.029837	0.004440	0.004440
37	32	P50	10348	0.005257	-0.009195	0.009280	-0.012408
37	32	P75	12416	0.004080	-0.006766	0.000824	-0.009987
37	32	P90	12868	0.019182	0.019182	-0.000177	-0.000177
37	32	P95	13411	0.013969	0.013969	0.010681	0.010681
37	32	P99	13709	0.013711	0.013711	0.032613	0.032613
37	32	P999	13709	0.013711	0.013711	0.032613	0.032613
