key_ordinal	n	quantile	oracle	T_int	T_int_err	T_ceil	T_ceil_err	G_int	G_int_err	G_ceil	G_ceil_err
15	140	P95	7	7.183207	0.026172	7.160950	0.022993	6.955335	-0.006381	6.933785	-0.009459
15	140	P99	7	7.295531	0.042219	7.295531	0.042219	7.064096	0.009157	7.064096	0.009157
15	140	P999	8	8.311142	0.038893	8.311142	0.038893	8.047489	0.005936	8.047489	0.005936
16	123	P1	5	5.053457	0.010691	5.053457	0.010691	5.211721	0.042344	5.211721	0.042344
16	123	P50	7	6.939853	-0.008592	6.939853	-0.008592	6.852908	-0.021013	6.852908	-0.021013
16	123	P75	7	7.069077	0.009868	7.069077	0.009868	6.980513	-0.002784	6.980513	-0.002784
16	123	P90	7	7.145211	0.020744	7.145211	0.020744	7.055693	0.007956	7.055693	0.007956
16	123	P95	8	7.939900	-0.007513	7.939900	-0.007513	7.840425	-0.019947	7.840425	-0.019947
16	123	P99	8	8.114261	0.014283	8.114261	0.014283	8.012602	0.001575	8.012602	0.001575
16	123	P999	8	8.149590	0.018699	8.149590	0.018699	8.047489	0.005936	8.047489	0.005936
17	146	P1	5	4.940657	-0.011869	4.940657	-0.011869	4.996344	-0.000731	4.996344	-0.000731
17	146	P50	6	5.885258	-0.019124	5.881708	-0.019715	5.951592	-0.008068	5.948001	-0.008666
17	146	P75	6	6.014499	0.002417	6.014499	0.002417	6.082289	0.013715	6.082289	0.013715
17	146	P90	6	6.094873	0.015812	6.094873	0.015812	6.163569	0.027262	6.163569	0.027262
17	146	P95	6	6.120671	0.020112	6.120671	0.020112	6.189658	0.031610	6.189658	0.031610
17	146	P99	7	7.295531	0.042219	7.295531	0.042219	7.064096	0.009157	7.064096	0.009157
17	146	P999	9	9.065600	0.007289	9.065600	0.007289	9.167779	0.018642	9.167779	0.018642
18	601	P1	6	5.761583	-0.039736	5.761583	-0.039736	5.942023	-0.009663	5.942023	-0.009663
18	601	P50	7	6.922811	-0.011027	6.922811	-0.011027	6.836079	-0.023417	6.836079	-0.023417
18	601	P75	7	7.058799	0.008400	7.058799	0.008400	6.970363	-0.004234	6.970363	-0.004234
18	601	P90	7	7.141671	0.020239	7.141671	0.020239	7.052197	0.007457	7.052197	0.007457
18	601	P95	8	7.948528	-0.006434	7.948528	-0.006434	7.848946	-0.018882	7.848946	-0.018882
18	601	P99	9	9.284094	0.031566	9.284094	0.031566	9.167779	0.018642	9.167779	0.018642
18	601	P999	19	19.430960	0.022682	19.430960	0.022682	19.187521	0.009870	19.187521	0.009870
19	662	P1	6	5.804462	-0.032590	5.804462	-0.032590	5.986245	-0.002292	5.986245	-0.002292
19	662	P50	7	7.067616	0.009659	7.066866	0.009552	6.979070	-0.002990	6.978329	-0.003096
19	662	P75	8	7.887084	-0.014114	7.887084	-0.014114	7.788271	-0.026466	7.788271	-0.026466
19	662	P90	8	8.052677	0.006585	8.052677	0.006585	7.951789	-0.006026	7.951789	-0.006026
19	662	P95	8	8.108643	0.013580	8.108643	0.013580	8.007055	0.000882	8.007055	0.000882
19	662	P99	9	9.084595	0.009399	9.084595	0.009399	8.970780	-0.003247	8.970780	-0.003247
19	662	P999	41	42.473388	0.035936	42.473388	0.035936	41.941263	0.022958	41.941263	0.022958
20	776	P1	5	4.900741	-0.019852	4.900741	-0.019852	4.998491	-0.000302	4.998491	-0.000302
20	776	P50	6	5.920836	-0.013194	5.920348	-0.013275	6.038933	0.006489	6.038435	0.006406
20	776	P75	6	6.016290	0.002715	6.015794	0.002632	6.136290	0.022715	6.135785	0.022631
20	776	P90	6	6.074099	0.012350	6.074099	0.012350	6.195252	0.032542	6.195252	0.032542
20	776	P95	7	7.054789	0.007827	7.054789	0.007827	6.889588	-0.015773	6.889588	-0.015773
20	776	P99	7	7.200228	0.028604	7.200228	0.028604	7.031621	0.004517	7.031621	0.004517
20	776	P999	7	7.233481	0.033354	7.233481	0.033354	7.064096	0.009157	7.064096	0.009157
21	194	P1	6	5.777829	-0.037028	5.777829	-0.037028	5.958778	-0.006870	5.958778	-0.006870
21	194	P50	7	7.013430	0.001919	7.011190	0.001599	6.925562	-0.010634	6.923350	-0.010950
21	194	P75	7	7.121799	0.017400	7.121799	0.017400	7.032574	0.004653	7.032574	0.004653
21	194	P90	8	7.958737	-0.005158	7.958737	-0.005158	7.859027	-0.017622	7.859027	-0.017622
21	194	P95	8	8.064208	0.008026	8.064208	0.008026	7.963176	-0.004603	7.963176	-0.004603
21	194	P99	8	8.149590	0.018699	8.149590	0.018699	8.047489	0.005936	8.047489	0.005936
21	194	P999	9	9.284094	0.031566	9.284094	0.031566	9.167779	0.018642	9.167779	0.018642
22	777	P1	5	4.986773	-0.002645	4.986773	-0.002645	5.042980	0.008596	5.042980	0.008596
22	777	P50	6	6.050064	0.008344	6.050064	0.008344	6.118255	0.019709	6.118255	0.019709
22	777	P75	7	7.033373	0.004768	7.033373	0.004768	6.810255	-0.027106	6.810255	-0.027106
22	777	P90	7	7.196272	0.028039	7.196272	0.028039	6.967986	-0.004573	6.967986	-0.004573
22	777	P95	7	7.251406	0.035915	7.251406	0.035915	7.021371	0.003053	7.021371	0.003053
22	777	P99	7	7.295531	0.042219	7.295531	0.042219	7.064096	0.009157	7.064096	0.009157
22	777	P999	61	61.317609	0.005207	61.317609	0.005207	62.008729	0.016537	62.008729	0.016537
23	605	P1	6	5.877712	-0.020381	5.877712	-0.020381	5.943960	-0.009340	5.943960	-0.009340
23	605	P50	7	7.017682	0.002526	7.017682	0.002526	6.795062	-0.029277	6.795062	-0.029277
23	605	P75	7	7.163034	0.023291	7.163034	0.023291	6.935802	-0.009171	6.935802	-0.009171
23	605	P90	7	7.252080	0.036011	7.252080	0.036011	7.022023	0.003146	7.022023	0.003146
