group	step	n_union	remaps_so_far	quantile	oracle	T_int_err	T_ceil_err	G_int_err	G_ceil_err
3	5	186	5	P95	69	0.001722	0.001722	0.001006	0.001006
3	5	186	5	P99	212	0.000811	0.000811	0.003659	0.003659
3	5	186	5	P999	218	-0.000928	-0.000928	0.001911	0.001911
3	6	217	6	P1	41	-0.001143	-0.001143	-0.001151	-0.001151
3	6	217	6	P50	46	0.000702	0.000702	0.001622	0.001622
3	6	217	6	P75	49	-0.002275	-0.002275	0.000521	0.000521
3	6	217	6	P90	54	0.000098	0.000098	0.001916	0.001916
3	6	217	6	P95	69	0.001722	0.001722	0.001006	0.001006
3	6	217	6	P99	212	0.000811	0.000811	0.003659	0.003659
3	6	217	6	P999	218	-0.000928	-0.000928	0.001911	0.001911
3	7	248	7	P1	40	0.001118	0.001118	0.000490	0.000490
3	7	248	7	P50	46	0.001985	0.001697	0.002105	0.001971
3	7	248	7	P75	49	-0.000875	-0.001187	0.001804	0.001536
3	7	248	7	P90	54	0.003844	0.003844	0.003165	0.003165
3	7	248	7	P95	69	0.001722	0.001722	0.001006	0.001006
3	7	248	7	P99	212	0.000811	0.000811	0.003659	0.003659
3	7	248	7	P999	218	-0.000928	-0.000928	0.001911	0.001911
4	1	63	1	P1	40	0.000160	0.000160	-0.001378	-0.001378
4	1	63	1	P50	949	0.002000	0.002000	0.000015	0.000015
4	1	63	1	P75	1016	-0.000798	-0.000798	0.000948	0.000948
4	1	63	1	P90	1049	0.002757	0.002757	0.000756	0.000756
4	1	63	1	P95	1070	0.001625	0.001625	0.003368	0.003368
4	1	63	1	P99	1149	0.001423	0.001423	0.003156	0.003156
4	1	63	1	P999	1149	0.001423	0.001423	0.003156	0.003156
4	2	87	2	P1	1	-0.001928	-0.001928	0.000935	0.000935
4	2	87	2	P50	70	0.003092	0.003092	0.001570	0.001570
4	2	87	2	P75	997	-0.000680	-0.000680	0.001136	0.001136
4	2	87	2	P90	1036	0.000202	0.000202	0.002015	0.002015
4	2	87	2	P95	1066	0.001565	0.001565	0.003376	0.003376
4	2	87	2	P99	1149	0.001357	0.001357	0.003156	0.003156
4	2	87	2	P999	1149	0.001357	0.001357	0.003156	0.003156
4	3	115	3	P1	1	-0.001829	-0.001829	0.001871	0.001871
4	3	115	3	P50	962	-0.002290	-0.002290	0.001362	0.001362
4	3	115	3	P75	1128	-0.000746	-0.000746	0.002911	0.002911
4	3	115	3	P90	4464	0.002976	0.002976	0.002882	0.002882
4	3	115	3	P95	11529	0.003607	0.003607	0.003506	0.003506
4	3	115	3	P99	12327	0.000220	0.000220	0.000119	0.000119
4	3	115	3	P999	18063	0.003164	0.003164	0.003060	0.003060
4	4	158	4	P1	1	-0.002202	-0.002202	0.001496	0.001496
4	4	158	4	P50	962	-0.002290	-0.009721	0.001362	-0.009804
4	4	158	4	P75	1568	0.002583	0.002583	0.002496	0.002496
4	4	158	4	P90	7516	0.001565	0.001565	0.001467	0.001467
4	4	158	4	P95	10781	0.003403	0.003403	0.003302	0.003302
4	4	158	4	P99	12327	0.000220	0.000220	0.000119	0.000119
4	4	158	4	P999	18063	0.003164	0.003164	0.003060	0.003060
4	5	188	5	P1	1	-0.002202	-0.002202	0.001496	0.001496
4	5	188	5	P50	1013	-0.001617	-0.009053	0.002038	-0.005426
4	5	188	5	P75	2690	0.001110	-0.124936	0.001019	-0.125014
4	5	188	5	P90	10344	0.003665	0.003665	0.003564	0.003564
4	5	188	5	P95	11320	0.003210	0.003210	0.003110	0.003110
4	5	188	5	P99	13818	0.001919	0.001919	0.001817	0.001817
4	5	188	5	P999	18063	0.003164	0.003164	0.003060	0.003060
4	6	212	6	P1	1	-0.003308	-0.003308	0.000387	0.000387
4	6	212	6	P50	975	-0.000764	-0.004492	0.002894	-0.004575
4	6	212	6	P75	1652	0.002730	-0.026812	0.002642	-0.026897
4	6	212	6	P90	8532	0.001867	0.001867	0.001768	0.001768
4	6	212	6	P95	11275	-0.000288	-0.000288	0.003356	0.003356
4	6	212	6	P99	12327	0.000220	0.000220	0.000119	0.000119
4	6	212	6	P999	18063	0.003164	0.003164	0.003060	0.003060
4	7	243	7	P1	1	-0.002495	-0.002495	0.000387	0.000387
4	7	243	7	P50	1024	0.000592	0.000592	0.000580	0.000580
4	7	243	7	P75	7038	-0.001678	-0.001678	0.003637	0.003637
4	7	243	7	P90	15061	0.000194	0.000194	0.001654	0.001654
4	7	243	7	P95	16269	0.001551	0.001551	0.003001	0.003001
4	7	243	7	P99	21213	0.001633	0.001633	0.003044	0.003044
4	7	243	7	P999	33044	-0.000449	-0.000449	0.000894	0.000894
5	1	64	1	P1	4717	0.002475	0.002475	0.000082	0.000082
5	1	64	1	P50	8250	0.000504	-0.000743	0.000802	-0.000133
5	1	64	1	P75	9819	0.000249	-0.027409	0.001446	-0.026239
5	1	64	1	P90	10615	0.002686	0.002686	0.000124	0.000124
5	1	64	1	P95	11164	0.000860	0.000860	0.000161	0.000161
5	1	64	1	P99	11390	-0.000488	-0.000488	0.000678	0.000678
5	1	64	1	P999	11390	-0.000488	-0.000488	0.000678	0.000678
5	2	96	2	P1	4717	0.002475	0.002475	0.000082	0.000082
5	2	96	2	P50	8060	0.001372	-0.009797	0.002611	-0.008569
5	2	96	2	P75	9044	0.002086	-0.005379	0.003302	-0.004171
5	2	96	2	P90	10484	0.000146	0.000146	0.001329	0.001329
5	2	96	2	P95	11085	0.000484	0.000484	0.001657	0.001657
5	2	96	2	P99	11390	-0.000488	-0.000488	0.000678	0.000678
5	2	96	2	P999	11390	-0.000488	-0.000488	0.000678	0.000678
5	3	128	3	P1	5118	-0.000605	-0.000605	0.000726	0.000726
5	3	128	3	P50	7877	0.001907	-0.001832	0.003151	-0.000591
5	3	128	3	P75	8911	0.001946	0.000074	0.003165	-0.000578
5	3	128	3	P90	10019	0.000648	0.000648	0.001841	0.001841
5	3	128	3	P95	10615	0.002686	0.002686	0.000124	0.000124
5	3	128	3	P99	11269	-0.001023	-0.001023	0.000144	0.000144
5	3	128	3	P999	11390	-0.000488	-0.000488	0.000678	0.000678
5	4	160	4	P1	5118	-0.001487	-0.001487	0.000726	0.000726
5	4	160	4	P50	8230	-0.000832	-0.001765	0.000425	-0.001443
5	4	160	4	P75	9435	0.003650	-0.000095	0.002092	0.000221
5	4	160	4	P90	11164	-0.000147	-0.007594	0.000161	-0.005431
5	4	160	4	P95	12416	0.001970	-0.009204	0.000401	-0.010755
5	4	160	4	P99	13411	0.003385	0.003385	0.001811	0.001811
5	4	160	4	P999	13709	0.000093	0.000093	0.002262	0.002262
5	5	192	5	P1	5118	-0.001487	-0.001487	0.000726	0.000726
5	5	192	5	P50	8297	0.001341	-0.002395	0.003537	-0.003937
5	5	192	5	P75	9792	0.000147	-0.003585	0.002332	-0.001407
5	5	192	5	P90	11217	-0.001144	-0.001144	0.001032	0.001032
5	5	192	5	P95	12148	0.001361	0.001361	0.003539	0.003539
5	5	192	5	P99	13411	0.003385	0.003385	0.001811	0.001811
5	5	192	5	P999	13709	0.000093	0.000093	0.002262	0.002262
5	6	224	6	P1	5406	-0.002029	-0.002029	0.000181	0.000181
5	6	224	6	P50	8457	0.000931	-0.000938	0.001252	-0.000618
5	6	224	6	P75	9826	0.000419	-0.000827	0.002605	0.000733
5	6	224	6	P90	11303	-0.001305	-0.001305	0.000870	0.000870
5	6	224	6	P95	12020	0.000739	0.000739	0.002916	0.002916
5	6	224	6	P99	12933	0.002294	0.002294	0.000723	0.000723
5	6	224	6	P999	13709	0.000093	0.000093	0.002262	0.002262
5	7	255	7	P1	5406	-0.002029	-0.002029	0.000181	0.000181
5	7	255	7	P50	8521	0.000868	0.000868	0.001189	0.001189
5	7	255	7	P75	10019	-0.000342	-0.000342	0.001841	0.001841
5	7	255	7	P90	11429	0.002564	0.002564	0.000998	0.000998
5	7	255	7	P95	12280	0.001769	0.001769	0.000201	0.000201
5	7	255	7	P99	13411	0.001511	0.001511	-0.000060	-0.000060
5	7	255	7	P999	13709	0.000093	0.000093	0.002262	0.002262
6	1	21	1	P1	35	0.003563	0.003563	0.003198	0.003198
6	1	21	1	P50	22486	0.001263	0.001263	0.000830	0.000830
6	1	21	1	P75	65960	0.001653	0.001653	0.001209	0.001209
6	1	21	1	P90	102007	0.003009	0.003009	0.002560	0.002560
6	1	21	1	P95	109458	0.003533	0.003533	0.003083	0.003083
6	1	21	1	P99	184696	-0.000061	-0.000061	0.003228	0.003228
6	1	21	1	P999	184696	-0.000061	-0.000061	0.003228	0.003228
6	2	31	2	P1	35	0.003563	0.003563	0.003198	0.003198
6	2	31	2	P50	65960	0.001653	0.001653	0.001209	0.001209
6	2	31	2	P75	93044	0.001525	0.001525	0.001077	0.001077
6	2	31	2	P90	104315	0.003064	0.003064	0.002614	0.002614
6	2	31	2	P95	121635	0.002711	0.002711	0.002260	0.002260
6	2	31	2	P99	184696	-0.000061	-0.000061	0.003228	0.003228
6	2	31	2	P999	184696	-0.000061	-0.000061	0.003228	0.003228
6	3	41	3	P1	35	0.002251	0.002251	0.003198	0.003198
6	3	41	3	P50	22486	0.000544	0.000544	0.000830	0.000830
6	3	41	3	P75	81438	0.003329	0.003329	0.003484	0.003484
6	3	41	3	P90	102007	0.002428	0.002428	0.002560	0.002560
6	3	41	3	P95	109458	0.002958	0.002958	0.003083	0.003083
6	3	41	3	P99	184696	-0.000586	-0.000586	0.003228	0.003228
6	3	41	3	P999	184696	-0.000586	-0.000586	0.003228	0.003228
6	4	54	4	P1	35	0.002251	0.002251	0.003198	0.003198
6	4	54	4	P50	49352	0.003255	-0.123072	0.003461	-0.122880
6	4	54	4	P75	70918	-0.000415	-0.000415	0.003497	0.003497
6	4	54	4	P90	98741	0.001322	0.001322	0.001457	0.001457
6	4	54	4	P95	109458	0.002958	0.002958	0.003083	0.003083
6	4	54	4	P99	184696	-0.000586	-0.000586	0.003228	0.003228
6	4	54	4	P999	184696	-0.000586	-0.000586	0.003228	0.003228
6	5	86	5	P1	35	0.002251	0.002251	0.003198	0.003198
6	5	86	5	P50	11940	0.001765	-0.001973	0.002115	-0.001623
6	5	86	5	P75	64663	0.002202	0.002202	0.002380	0.002380
6	5	86	5	P90	93044	0.000936	0.000936	0.001077	0.001077
6	5	86	5	P95	102007	0.002428	0.002428	0.002560	0.002560
6	5	86	5	P99	184696	-0.000586	-0.000586	0.003228	0.003228
6	5	86	5	P999	184696	-0.000586	-0.000586	0.003228	0.003228
6	6	709	6	P1	2	-0.001780	-0.001780	-0.000627	-0.000627
6	6	709	6	P50	4	0.001578	0.001578	-0.001074	-0.001074
6	6	709	6	P75	5	-0.001251	-0.001251	-0.000186	-0.000186
6	6	709	6	P90	124	0.000938	0.000938	0.001692	0.001692
6	6	709	6	P95	13136	0.003544	0.003544	0.000100	0.000100
6	6	709	6	P99	93419	0.000682	0.000682	0.000792	0.000792
6	6	709	6	P999	184696	-0.000559	-0.000559	0.003228	0.003228
6	7	716	7	P1	2	-0.001780	-0.001780	-0.000627	-0.000627
6	7	716	7	P50	4	0.001644	0.001628	-0.001008	-0.001025
6	7	716	7	P75	5	-0.001110	-0.001133	-0.000045	-0.000069
6	7	716	7	P90	1177	0.000967	0.000967	0.001503	0.001503
6	7	716	7	P95	13136	0.003544	0.003544	0.000100	0.000100
6	7	716	7	P99	93419	0.000682	0.000682	0.000792	0.000792
6	7	716	7	P999	184696	-0.000559	-0.000559	0.003228	0.003228
7	1	62	1	P1	5	0.000811	0.000811	0.001625	0.001625
7	1	62	1	P50	3559	0.000648	-0.995209	0.001429	-0.995223
7	1	62	1	P75	5074	0.001107	0.001107	0.001886	0.001886
7	1	62	1	P90	5531	0.000841	0.000841	0.001620	0.001620
7	1	62	1	P95	5738	0.001479	0.001479	0.002258	0.002258
7	1	62	1	P99	8432	0.001568	0.001568	0.002346	0.002346
7	1	62	1	P999	8432	0.001568	0.001568	0.002346	0.002346
7	2	69	2	P1	5	0.000811	0.000811	0.001625	0.001625
7	2	69	2	P50	1193	0.002168	0.002168	0.002955	0.002955
7	2	69	2	P75	4983	0.000514	0.000514	0.001293	0.001293
7	2	69	2	P90	5571	0.001111	0.001111	0.001890	0.001890
7	2	69	2	P95	5877	-0.000029	-0.000029	0.000748	0.000748
7	2	69	2	P99	11992	0.000732	0.000732	0.001507	0.001507
7	2	69	2	P999	11992	0.000732	0.000732	0.001507	0.001507
7	3	100	3	P1	4	0.000996	0.000061	-0.001378	-0.002311
7	3	100	3	P50	12	-0.003457	-0.082819	-0.002149	-0.081611
7	3	100	3	P75	4686	0.001909	-0.001829	0.002942	-0.000800
7	3	100	3	P90	5287	0.000857	-0.017676	0.001882	-0.016669
7	3	100	3	P95	5738	0.001236	-0.017304	0.002258	-0.016300
7	3	100	3	P99	11992	0.000520	-0.295921	0.001507	-0.295215
7	3	100	3	P999	11992	0.000520	0.000520	0.001507	0.001507
7	4	131	4	P1	4	0.000996	0.000996	-0.001378	-0.001378
7	4	131	4	P50	1193	0.001858	0.001858	0.002955	0.002955
7	4	131	4	P75	5026	0.002891	0.002891	0.000176	0.000176
7	4	131	4	P90	5408	0.000657	0.000657	0.001681	0.001681
7	4	131	4	P95	5877	-0.000271	-0.000271	0.000748	0.000748
7	4	131	4	P99	8432	0.001341	0.001341	0.002346	0.002346
7	4	131	4	P999	11992	0.000520	0.000520	0.001507	0.001507
7	5	138	5	P1	4	0.000996	0.000996	-0.001378	-0.001378
7	5	138	5	P50	1116	0.001291	-0.046204	0.002391	-0.048717
7	5	138	5	P75	4983	0.000265	0.000265	0.001293	0.001293
7	5	138	5	P90	5408	0.000657	0.000657	0.001681	0.001681
7	5	138	5	P95	5877	-0.000271	-0.000271	0.000748	0.000748
7	5	138	5	P99	8432	0.001341	0.001341	0.002346	0.002346
7	5	138	5	P999	11992	0.000520	0.000520	0.001507	0.001507
7	6	145	6	P1	4	0.000996	0.000996	-0.001378	-0.001378
7	6	145	6	P50	1009	0.004902	0.004902	0.002257	0.002257
7	6	145	6	P75	4919	0.001979	0.001979	0.003009	0.003009
7	6	145	6	P90	5404	-0.000472	-0.000472	0.000551	0.000551
7	6	145	6	P95	5837	0.002824	0.002824	0.000101	0.000101
7	6	145	6	P99	8432	0.001341	0.001341	0.002346	0.002346
7	6	145	6	P999	11992	0.000520	0.000520	0.001507	0.001507
7	7	152	7	P1	4	0.000996	0.000996	-0.001378	-0.001378
7	7	152	7	P50	1009	0.004902	-0.010012	0.002257	-0.012617
7	7	152	7	P75	4918	0.000312	-0.005282	0.001340	-0.004259
7	7	152	7	P90	5357	0.002659	0.002659	0.003686	0.003686
7	7	152	7	P95	5837	0.002824	0.002824	0.000101	0.000101
7	7	152	7	P99	8432	0.001341	0.001341	0.002346	0.002346
7	7	152	7	P999	11992	0.000520	0.000520	0.001507	0.001507
8	1	14	1	P1	934	0.003747	0.003747	0.000996	0.000996
8	1	14	1	P50	968	0.001631	-0.000240	0.002623	0.000751
8	1	14	1	P75	984	0.003934	0.003934	0.001178	0.001178
8	1	14	1	P90	1025	-0.001381	-0.001381	-0.000396	-0.000396
8	1	14	1	P95	1026	-0.000487	-0.000487	0.000498	0.000498
8	1	14	1	P99	1026	-0.000487	-0.000487	0.000498	0.000498
8	1	14	1	P999	1026	-0.000487	-0.000487	0.000498	0.000498
8	2	21	2	P1	934	0.000077	0.000077	-0.000873	-0.000873
8	2	21	2	P50	967	0.000870	0.000870	0.001786	0.001786
8	2	21	2	P75	1001	0.001829	0.001829	0.002742	0.002742
8	2	21	2	P90	1026	-0.000411	-0.000411	0.000498	0.000498
8	2	21	2	P95	1030	-0.000564	-0.000564	0.000345	0.000345
8	2	21	2	P99	1044	0.000889	0.000889	0.001798	0.001798
8	2	21	2	P999	1044	0.000889	0.000889	0.001798	0.001798
8	3	28	3	P1	934	-0.001006	-0.001006	-0.000873	-0.000873
8	3	28	3	P50	966	0.000204	-0.001042	0.000950	-0.000919
8	3	28	3	P75	1012	0.001045	-0.010121	0.003028	-0.008157
8	3	28	3	P90	1026	-0.001476	-0.001476	0.000498	0.000498
8	3	28	3	P95	1030	-0.001628	-0.001628	0.000345	0.000345
8	3	28	3	P99	1044	-0.000174	-0.000174	0.001798	0.001798
8	3	28	3	P999	1044	-0.000174	-0.000174	0.001798	0.001798
8	4	35	4	P1	934	-0.001006	-0.001006	-0.000873	-0.000873
8	4	35	4	P50	964	0.001030	0.001030	0.001154	0.001154
8	4	35	4	P75	1012	0.001045	0.001045	0.003028	0.003028
8	4	35	4	P90	1026	-0.001476	-0.001476	0.000498	0.000498
8	4	35	4	P95	1044	-0.000174	-0.000174	-0.000073	-0.000073
8	4	35	4	P99	1044	0.003571	0.003571	0.001798	0.001798
8	4	35	4	P999	1044	0.003571	0.003571	0.001798	0.001798
8	5	42	5	P1	933	-0.001803	-0.001803	-0.000425	-0.000425
8	5	42	5	P50	966	0.000204	-0.001042	0.000950	-0.000296
8	5	42	5	P75	1004	0.001504	0.001504	0.003490	0.003490
8	5	42	5	P90	1025	-0.001436	-0.001436	0.000227	0.000227
8	5	42	5	P95	1030	-0.001628	-0.001628	0.000345	0.000345
8	5	42	5	P99	1044	0.003571	0.003571	0.001798	0.001798
8	5	42	5	P999	1044	0.003571	0.003571	0.001798	0.001798
8	6	49	6	P1	933	-0.001803	-0.001803	-0.000425	-0.000425
8	6	49	6	P50	964	0.000095	0.000095	0.000530	0.000530
8	6	49	6	P75	1004	0.001504	0.001504	0.003490	0.003490
8	6	49	6	P90	1027	-0.000582	-0.000582	0.001394	0.001394
8	6	49	6	P95	1044	-0.000174	-0.000174	-0.000073	-0.000073
8	6	49	6	P99	1054	0.001511	0.001511	0.003483	0.003483
8	6	49	6	P999	1054	0.001511	0.001511	0.003483	0.003483
8	7	56	7	P1	933	-0.001803	-0.001803	-0.000425	-0.000425
8	7	56	7	P50	964	0.000282	-0.000466	0.001154	0.000219
8	7	56	7	P75	1012	0.001045	-0.006413	0.003028	-0.004443
8	7	56	7	P90	1029	-0.001903	-0.001903	0.000070	0.000070
8	7	56	7	P95	1044	0.003571	0.003571	0.001798	0.001798
8	7	56	7	P99	1084	-0.000382	-0.000382	0.001579	0.001579
8	7	56	7	P999	1084	-0.000382	-0.000382	0.001579	0.001579
9	1	14	1	P1	941	0.003106	0.003106	0.001005	0.001005
9	1	14	1	P50	986	0.001244	-0.006213	0.002889	-0.004580
9	1	14	1	P75	1024	0.000808	0.000808	0.002452	0.002452
9	1	14	1	P90	1082	0.001784	0.001784	0.003430	0.003430
9	1	14	1	P95	3402	0.000047	0.000047	0.001690	0.001690
9	1	14	1	P99	3402	0.000047	0.000047	0.001690	0.001690
9	1	14	1	P999	3402	0.000047	0.000047	0.001690	0.001690
9	2	21	2	P1	933	0.000425	0.000425	0.002069	0.002069
9	2	21	2	P50	986	0.001244	0.001244	0.002889	0.002889
