file	bpd	bound	scope	arm	conv	quantile	n	p50	p95	p99	max	within_bound	mean_signed
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	G	raw	P99	1655	0.019924	0.043007	0.044403	0.044403	1.000000	0.021645
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	G	binning	P999	1655	0.021717	0.043233	0.044403	0.044403	1.000000	0.022582
ScriptLog-DPMExtended-clean.log	53	0.044403	pair	G	raw	P999	1655	0.021717	0.043233	0.044403	0.044403	1.000000	0.022582
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	T	binning	P1	413	0.019791	0.046206	0.047983	0.051205	0.929782	-0.011699
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	T	raw	P1	413	0.019791	0.046206	0.047983	0.051205	0.929782	-0.011699
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	T	binning	P50	413	0.008112	0.032608	0.046251	0.055362	0.985472	0.007793
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	T	raw	P50	413	0.007637	0.966427	0.995333	0.996331	0.866828	-0.083681
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	T	binning	P75	413	0.012830	0.043007	0.054456	0.066178	0.958838	0.013000
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	T	raw	P75	413	0.012709	0.043565	0.054985	0.342263	0.953995	0.010239
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	T	binning	P90	413	0.012993	0.041852	0.053220	0.056548	0.958838	0.011835
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	T	raw	P90	413	0.012993	0.041852	0.053220	0.056548	0.958838	0.011827
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	T	binning	P95	413	0.016035	0.047939	0.053306	0.055815	0.932203	0.017435
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	T	raw	P95	413	0.016035	0.047939	0.053306	0.055815	0.932203	0.017435
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	T	binning	P99	413	0.017912	0.046156	0.051898	0.055815	0.946731	0.018176
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	T	raw	P99	413	0.017912	0.046156	0.051898	0.055815	0.946731	0.018176
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	T	binning	P999	413	0.018119	0.046156	0.051898	0.055815	0.946731	0.019227
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	T	raw	P999	413	0.018119	0.046156	0.051898	0.055815	0.946731	0.019227
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	G	binning	P1	413	0.007769	0.038746	0.044403	0.044403	1.000000	-0.001138
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	G	raw	P1	413	0.007769	0.038746	0.044403	0.044403	1.000000	-0.001138
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	G	binning	P50	413	0.010920	0.028426	0.039425	0.044403	1.000000	0.001725
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	G	raw	P50	413	0.012005	0.967018	0.995252	0.996411	0.871671	-0.090519
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	G	binning	P75	413	0.006581	0.030835	0.043087	0.044403	1.000000	0.005585
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	G	raw	P75	413	0.006374	0.030835	0.044403	0.338100	0.995157	0.002603
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	G	binning	P90	413	0.012792	0.035307	0.042429	0.044403	1.000000	0.007737
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	G	raw	P90	413	0.012792	0.035154	0.042429	0.044403	1.000000	0.007729
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	G	binning	P95	413	0.016377	0.042310	0.044222	0.044403	1.000000	0.014966
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	G	raw	P95	413	0.016377	0.042310	0.044222	0.044403	1.000000	0.014966
ScriptLog-DPMExtended-clean.log	53	0.044403	fold1	G	binning	P99	413	0.019901	0.043679	0.044403	0.044403	1.000000	0.021986
