key_ordinal	n	quantile	oracle	T_int	T_int_err	T_ceil	T_ceil_err	G_int	G_int_err	G_ceil	G_ceil_err
17	623	P75	3	3.054281	0.018094	3.054281	0.018094	3.082619	0.027540	3.082619	0.027540
17	623	P90	4	4.074972	0.018743	4.074972	0.018743	3.937926	-0.015518	3.937926	-0.015518
17	623	P95	4	4.120206	0.030052	4.120206	0.030052	3.981639	-0.004590	3.981639	-0.004590
17	623	P99	5	5.163811	0.032762	5.163811	0.032762	5.211721	0.042344	5.211721	0.042344
17	623	P999	122	123.120055	0.009181	123.120055	0.009181	124.262367	0.018544	124.262367	0.018544
18	623	P1	1	1.029197	0.029197	1.029197	0.029197	1.038746	0.038746	1.038746	0.038746
18	623	P50	3	2.941496	-0.019501	2.941496	-0.019501	2.968787	-0.010404	2.968787	-0.010404
18	623	P75	3	3.020099	0.006700	3.020099	0.006700	3.048120	0.016040	3.048120	0.016040
18	623	P90	4	3.990634	-0.002341	3.990634	-0.002341	3.856425	-0.035894	3.856425	-0.035894
18	623	P95	4	4.082776	0.020694	4.082776	0.020694	3.945468	-0.013633	3.945468	-0.013633
18	623	P99	5	5.016395	0.003279	5.016395	0.003279	5.062937	0.012587	5.062937	0.012587
18	623	P999	73	73.099382	0.001361	73.099382	0.001361	73.777601	0.010652	73.777601	0.010652
19	623	P1	2	1.985989	-0.007005	1.985989	-0.007005	1.919198	-0.040401	1.919198	-0.040401
19	623	P50	3	2.987435	-0.004188	2.987435	-0.004188	3.015152	0.005051	3.015152	0.005051
19	623	P75	3	3.056863	0.018954	3.056863	0.018954	3.085225	0.028408	3.085225	0.028408
19	623	P90	4	4.078715	0.019679	4.078715	0.019679	3.941543	-0.014614	3.941543	-0.014614
19	623	P95	4	4.121857	0.030464	4.121857	0.030464	3.983234	-0.004191	3.983234	-0.004191
19	623	P99	5	5.163811	0.032762	5.163811	0.032762	5.211721	0.042344	5.211721	0.042344
19	623	P999	121	123.120055	0.017521	123.120055	0.017521	124.262367	0.026962	124.262367	0.026962
